id;logradouro;numero;bairro;complemento;principal
1;Forint;Concrete Global SMS;Profound;parsing;Borders content-based
2;Tasty Customer Human;pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools
3;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish
4;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal
5;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI
6;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
7;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek
8;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna
9;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up
10;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous
